split,variant,family,family_label,removed_features,n_removed_features,mae,rmse,direction_acc,pred_real_corr,train_mae,train_rmse,n_train_rows,n_test_rows,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown,turnover_total,tc_total,n_reb
split_005_2016-03-31_2018-06-28,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.01522514782845974,0.02142174355685711,0.49206349206349204,0.016219443809982696,0.012738119810819626,0.01779811643064022,2016,252,0.10392278628422069,0.08769835199360851,1.1707431357010147,1.7702406905698123,0.025025511308658377,-0.03058231570824521,3.676463594821721,0.003676463594821721,3
split_005_2016-03-31_2018-06-28,without_volatility,volatility,Volatility family,"ret_std_5, ret_std_10, ret_std_20, ret_std_60",4,0.013327117078006268,0.018211161717772484,0.5079365079365079,0.008796691421555106,0.013505589216947556,0.018791910260915756,2016,252,-0.04148506186697731,0.07627371636743502,-0.5178780663334591,-0.6952666348850411,-0.010536629610914727,-0.03182151954102019,3.1999999999999997,0.0031999999999999997,3
split_005_2016-03-31_2018-06-28,without_momentum,momentum,Momentum family,"mom_5, mom_10, mom_20, mom_60",4,0.01955098658800125,0.029095211997628212,0.48412698412698413,-0.044355921407631484,0.013117347843945026,0.01888675056397915,2016,252,0.08145342145071832,0.07489017135504115,1.0826213202728658,1.601524521397945,0.019769349978666417,-0.030582315708245766,2.8666666666666667,0.0028666666666666667,3
split_005_2016-03-31_2018-06-28,without_macd,macd,MACD family,"macd_12_26, macd_signal_9, macd_hist",3,0.021986356005072594,0.02976219169795513,0.48412698412698413,0.06741001699560577,0.01692572794854641,0.022988934069871902,2016,252,0.1254820047067018,0.09354207813729434,1.3101637862504987,1.8248224984507129,0.02999386728508102,-0.027311172958082497,4.0,0.004,3
split_005_2016-03-31_2018-06-28,without_rsi,rsi,RSI family,rsi_14,1,0.02199842594563961,0.03298747166991234,0.5,0.07774014569948616,0.017383690923452377,0.02513362281024456,2016,252,0.07414643256298481,0.0911510611981544,0.8297581144259493,1.1446126200717759,0.018042415204105655,-0.030582315708245433,3.1333333333333337,0.003133333333333334,3
split_005_2016-03-31_2018-06-28,without_volume,volume,Volume family,"volume, volume_chg, volume_roll_mean_20",3,0.02236216701567173,0.029754837974905968,0.4801587301587302,0.08569770692410328,0.02041335590183735,0.030081704258918762,2016,252,0.11346858935397686,0.10239814129579342,1.100388268069417,1.5021099195897782,0.027234253215314697,-0.025596265568535115,3.1332585259770784,0.0031332585259770786,3
split_006_2016-06-29_2018-09-27,full,full,Full model,,0,0.042189210653305054,0.05418483167886734,0.48412698412698413,-0.17407988557665643,0.04512220621109009,0.06240679696202278,2016,252,0.1701776079870243,0.06322440136522729,2.5175463327211367,4.049490323152252,0.04007090087396148,-0.033119768021676266,3.4750372798694547,0.0034750372798694547,3
split_006_2016-06-29_2018-09-27,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.01286230981349945,0.01714969426393509,0.4603174603174603,0.054192086810585204,0.013762551359832287,0.019398434087634087,2016,252,0.08241609020274288,0.05869603945962904,1.3783539798708098,2.056491334605618,0.019996214246706945,-0.028205944024035534,2.218055951546594,0.002218055951546594,3
split_006_2016-06-29_2018-09-27,without_volatility,volatility,Volatility family,"ret_std_5, ret_std_10, ret_std_20, ret_std_60",4,0.013551981188356876,0.01905522495508194,0.5079365079365079,-0.030539623066145934,0.014022178016602993,0.019430281594395638,2016,252,0.07694665690829572,0.061854119685577434,1.2290862249256371,1.8137396300922726,0.01870525883815244,-0.027209087701904777,2.7,0.0027,3
split_006_2016-06-29_2018-09-27,without_momentum,momentum,Momentum family,"mom_5, mom_10, mom_20, mom_60",4,0.011576288379728794,0.015333784744143486,0.5476190476190477,0.08787108888623162,0.014831718988716602,0.023005101829767227,2016,252,-0.021523632905584344,0.06522936159171124,-0.30141995646385195,-0.40602814107367213,-0.005424892987109353,-0.03431184209264693,3.2891919289435663,0.0032891919289435665,3
split_006_2016-06-29_2018-09-27,without_macd,macd,MACD family,"macd_12_26, macd_signal_9, macd_hist",3,0.01597989723086357,0.021116560325026512,0.4246031746031746,0.0077404126188631486,0.019812949001789093,0.027763068675994873,2016,252,0.03875416484321015,0.05222116690160113,0.7538474649999708,1.1063191754006216,0.009550840097006796,-0.021806665796201274,2.533333333333333,0.002533333333333333,3
split_006_2016-06-29_2018-09-27,without_rsi,rsi,RSI family,rsi_14,1,0.01533192116767168,0.02149757742881775,0.503968253968254,-0.004697659797176579,0.020590560510754585,0.03073163889348507,2016,252,0.12322488384145602,0.058549144797827773,2.0139853018765366,3.207659139143537,0.029477072908978386,-0.014541350333463154,4.3300593641371385,0.004330059364137139,3
split_006_2016-06-29_2018-09-27,without_volume,volume,Volume family,"volume, volume_chg, volume_roll_mean_20",3,0.019021648913621902,0.02629975974559784,0.4880952380952381,0.00028574729275816286,0.022463150322437286,0.0334613099694252,2016,252,0.09114748200839373,0.05416762292117657,1.6372851502264234,2.5913315379861332,0.02204699038285307,-0.021759637701836754,2.4,0.0024,3
split_007_2016-09-28_2018-12-28,full,full,Full model,,0,0.034909214824438095,0.04624777287244797,0.4722222222222222,0.01566575751169821,0.017100822180509567,0.023475026711821556,2016,252,-0.3945221811144789,0.178691782279205,-2.7171377997487256,-3.529076491985481,-0.11788631554896034,-0.15371898797408745,2.805648570006259,0.0028056485700062588,3
split_007_2016-09-28_2018-12-28,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.026662932708859444,0.0357973650097847,0.49603174603174605,0.11582132903543045,0.012672534212470055,0.01745959185063839,2016,252,-0.5165768200473915,0.2065329467209409,-3.412622095307509,-4.274787591945758,-0.16616164552940704,-0.19781122255822936,2.0136466725005278,0.002013646672500528,3
split_007_2016-09-28_2018-12-28,without_volatility,volatility,Volatility family,"ret_std_5, ret_std_10, ret_std_20, ret_std_60",4,0.023262832313776016,0.031814415007829666,0.5396825396825397,0.024476826698200314,0.013649758882820606,0.01861383765935898,2016,252,-0.5316036709810918,0.1914073226657566,-3.862132631382465,-4.689850405599611,-0.1727183893144223,-0.2040187833722923,3.140534635336191,0.003140534635336191,3
split_007_2016-09-28_2018-12-28,without_momentum,momentum,Momentum family,"mom_5, mom_10, mom_20, mom_60",4,0.026141509413719177,0.03615051880478859,0.47619047619047616,0.0655055284599731,0.014170692302286625,0.0193631649017334,2016,252,-0.451113723715429,0.17515005857008006,-3.334514618803859,-4.155977820437072,-0.13926276028727413,-0.16696210825985058,2.3629768666157105,0.0023629768666157108,3
split_007_2016-09-28_2018-12-28,without_macd,macd,MACD family,"macd_12_26, macd_signal_9, macd_hist",3,0.03451959788799286,0.04667112976312637,0.4880952380952381,-0.05277866582342645,0.015990808606147766,0.02139681577682495,2016,252,-0.4065260007920607,0.17688906558615874,-2.8596724573973034,-3.696053493037111,-0.12229125753992232,-0.1607381721399609,2.385364725823567,0.002385364725823567,3
split_007_2016-09-28_2018-12-28,without_rsi,rsi,RSI family,rsi_14,1,0.0416325218975544,0.06397277861833572,0.503968253968254,0.1475399993706078,0.017297526821494102,0.023607667535543442,2016,252,-0.4891863122177924,0.19731093782014555,-3.3028619074580083,-4.1448787172650166,-0.15459340480396488,-0.18342146069598664,2.9115979711046283,0.0029115979711046283,3
split_007_2016-09-28_2018-12-28,without_volume,volume,Volume family,"volume, volume_chg, volume_roll_mean_20",3,0.0427202433347702,0.06317117065191269,0.503968253968254,0.05648193532442963,0.017589759081602097,0.02334757335484028,2016,252,-0.35663041725393363,0.15718621644935166,-2.7260546772355556,-3.5481842656621434,-0.10439784251293116,-0.12611567433181314,3.9242564924005467,0.003924256492400547,3
split_008_2016-12-28_2019-04-01,full,full,Full model,,0,0.02933485247194767,0.04177822545170784,0.503968253968254,0.04037281000550025,0.01949266903102398,0.030569586902856827,2016,252,0.6765887935202104,0.08746406923021384,5.957213931805782,11.852743730367262,0.1379066611794324,-0.010072896646728946,2.8657970074890446,0.0028657970074890448,3
split_008_2016-12-28_2019-04-01,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.01655646413564682,0.02632521651685238,0.5436507936507936,0.1535910596585149,0.012430412694811821,0.018885118886828423,2016,252,0.7050640454977051,0.12313612371091846,4.398318308644103,7.974054652329577,0.1427077534428154,-0.01855727605082924,3.289064270392173,0.003289064270392173,3
