split,model,train_start,train_end,test_start,test_end,n_reb,turnover_total,tc_total,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown
split_010_2017-06-29_2019-09-30,markowitz,2017-06-29,2019-07-01,2019-07-02,2019-09-30,3,1.1158599999999999,0.0011158599999999998,0.22143910567733172,0.07711037193822964,2.6330857984261167,3.89494191041769,0.0512789174382311,-0.03564124467458962
split_010_2017-06-29_2019-09-30,black_litterman,2017-06-29,2019-07-01,2019-07-02,2019-09-30,3,1.2056,0.0012056,0.2088198474721059,0.07557306053388062,2.547586920820104,3.777726458519689,0.04855302019916974,-0.03357874939715366
split_011_2017-09-28_2019-12-30,markowitz,2017-09-28,2019-09-30,2019-10-01,2019-12-30,3,1.04026,0.0010402599999999999,0.04737730933367024,0.07442776906172328,0.6586067145978596,0.9779067798277447,0.011639527922354231,-0.026454162295066252
split_011_2017-09-28_2019-12-30,black_litterman,2017-09-28,2019-09-30,2019-10-01,2019-12-30,3,1.06278,0.0010627800000000001,0.04628823471223065,0.0744247526877644,0.6446497930423836,0.9558467790632379,0.011376446797792816,-0.026542157126177468
split_012_2017-12-28_2020-03-31,markowitz,2017-12-28,2019-12-30,2019-12-31,2020-03-31,3,1.0923399999999999,0.0010923399999999998,0.1966993351782209,0.21618991595160056,0.9386062936967392,1.2137713316881644,0.04591468922973463,-0.1491602308516362
split_012_2017-12-28_2020-03-31,black_litterman,2017-12-28,2019-12-30,2019-12-31,2020-03-31,3,1.21604,0.00121604,0.18368598995803853,0.217695515288339,0.8833818779500553,1.137519475767801,0.04305960551003274,-0.1528715160602343
split_013_2018-04-02_2020-06-30,markowitz,2018-04-02,2020-03-31,2020-04-01,2020-06-30,3,1.0,0.001,0.35739234447993296,0.10988442820633716,2.8363576563948523,5.070233249079316,0.07938492645184692,-0.030127274160260176
split_013_2018-04-02_2020-06-30,black_litterman,2018-04-02,2020-03-31,2020-04-01,2020-06-30,3,1.0898999999999999,0.0010899,0.3317212116732773,0.10629378157747936,2.748783090161548,4.783651835175884,0.07424497117206252,-0.03164422528711086
split_014_2018-06-29_2020-09-29,markowitz,2018-06-29,2020-06-30,2020-07-01,2020-09-29,3,1.0,0.001,0.1612622760348923,0.0830113990834764,1.842504787080191,2.5712667308658212,0.03808419650603634,-0.041543561806840934
split_014_2018-06-29_2020-09-29,black_litterman,2018-06-29,2020-06-30,2020-07-01,2020-09-29,3,1.1419000000000001,0.0011419000000000002,0.13892688095504813,0.07949279124022604,1.6760618166368086,2.3233024949416112,0.033056229277337756,-0.03762471601224726
