date,equal_weight_gross,equal_weight_net,markowitz_gross,markowitz_net,black_litterman_gross,black_litterman_net
2020-09-02,1.090453813993668,1.0893631809721949,1.0699006287969681,1.068832476268928,1.0616517662413405,1.0604411852278286
2020-09-03,1.0676330777767082,1.06656526924186,1.0569964299097199,1.0559411604965157,1.0498228525619901,1.0486257598303859
2020-09-04,1.0590575211019346,1.0579982895330862,1.0415019072319835,1.0404621070250997,1.0352146336433157,1.0340341983817278
2020-09-08,1.0451142112853,1.044068925317741,1.0339590150894415,1.0329267454504385,1.0289320335970853,1.0277587622630424
2020-09-09,1.0584081925322797,1.0573496103987128,1.0404591606210318,1.039420401457025,1.0353145065616525,1.0341339574169037
2020-09-10,1.0486172384502073,1.0475684488797885,1.03640588110174,1.0353711685946365,1.0317370204295737,1.0305605506231967
2020-09-11,1.050178690481657,1.0491283392025945,1.0379430556474445,1.0369068084773705,1.0340273261260562,1.0328482447283085
2020-09-14,1.0619568840762585,1.0608947526679482,1.043373648318333,1.0423319794285832,1.0388121708747053,1.0376276334108638
2020-09-15,1.0648668471084097,1.0638018052588378,1.0439596141418155,1.0429173602436463,1.0395082980206904,1.0383229667765033
2020-09-16,1.0655321502368542,1.0644664429748167,1.0404316522771653,1.0393929205765564,1.0363164022569924,1.035134710669924
2020-09-17,1.0624248909364828,1.0613622914443994,1.0386792944792609,1.0376423122732887,1.0353910061021658,1.0342103697264677
2020-09-18,1.0557063447833934,1.054650464941603,1.0319594225140263,1.0309291492004826,1.0289696185791715,1.027796304387699
2020-09-21,1.0381761314937237,1.0371377847461751,1.0305071568491313,1.0294783334284092,1.026384167091334,1.02521380104028
2020-09-22,1.0425325383188642,1.0414898344485495,1.0342161486366865,1.0331836222842643,1.0292396781460544,1.0280660560108714
2020-09-23,1.0268955904640253,1.0258685261113745,1.0254531458973632,1.024429368229891,1.0217074200326095,1.0205423867859407
2020-09-24,1.028318486956001,1.0272899994730162,1.028903200906017,1.0278759788205492,1.0248571133659463,1.0236884885847752
2020-09-25,1.0375089382923925,1.0364712588476932,1.0355569304975618,1.0345230655539697,1.0304616936375843,1.0292866780617278
2020-09-28,1.0513805640275353,1.0503290106774086,1.0406686902185345,1.0396297218672783,1.0354240960241545,1.0342434219166574
2020-09-29,1.0487733122927287,1.047724366622818,1.0391216203151323,1.0380841965060363,1.0342355481065897,1.0330562292773378
