split,model,train_start,train_end,test_start,test_end,n_reb,turnover_total,tc_total,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown,model_display
split_008_2016-12-28_2019-04-01,dnn_only,2016-12-28,2018-12-28,2018-12-31,2019-04-01,3,2.8657970074890446,0.002865797007489,0.6765887935202104,0.0874640692302138,5.957213931805782,11.852743730367262,0.1379066611794324,-0.0100728966467289,DNN-only
split_009_2017-03-30_2019-07-01,dnn_only,2017-03-30,2019-04-01,2019-04-02,2019-07-01,3,2.8205606661733937,0.0028205606661733,0.2759814866342063,0.0788274283851897,3.13198541268672,5.562512005975613,0.0628233649306466,-0.0208223573032867,DNN-only
split_010_2017-06-29_2019-09-30,dnn_only,2017-06-29,2019-07-01,2019-07-02,2019-09-30,3,3.239569994502728,0.0032395699945027,-0.1168237275960492,0.1511926261719847,-0.7466136422228201,-0.9492237775535098,-0.0305802839051418,-0.0779619495852558,DNN-only
split_011_2017-09-28_2019-12-30,dnn_only,2017-09-28,2019-09-30,2019-10-01,2019-12-30,3,1.9333333333333331,0.0019333333333333,0.1687237479165724,0.0809350709272537,1.9668404940359847,2.934559014181644,0.0397476972498465,-0.0155759122335262,DNN-only
split_012_2017-12-28_2020-03-31,dnn_only,2017-12-28,2019-12-30,2019-12-31,2020-03-31,3,2.943600561683916,0.0029436005616839,-0.5772883000709473,0.5360491656534828,-1.3337193498605318,-1.672425638094761,-0.1936732512775832,-0.3260222049084939,DNN-only
split_013_2018-04-02_2020-06-30,dnn_only,2018-04-02,2020-03-31,2020-04-01,2020-06-30,3,1.7,0.0017,0.5464260172298672,0.193194499671176,2.353085558089821,3.8938314551289066,0.1151474276610142,-0.042309491856972,DNN-only
split_014_2018-06-29_2020-09-29,dnn_only,2018-06-29,2020-06-30,2020-07-01,2020-09-29,3,2.4,0.0024,0.3272439092365968,0.0905771246412537,3.171868592569492,5.222992068496088,0.0733409164355345,-0.0337654844391477,DNN-only
split_015_2018-09-28_2020-12-29,dnn_only,2018-09-28,2020-09-29,2020-09-30,2020-12-29,3,3.666666666666667,0.0036666666666666,0.5965217509450256,0.1225763069741547,3.880498139283638,6.342707591811763,0.1240709129626442,-0.0533429462986123,DNN-only
split_016_2018-12-31_2021-03-31,dnn_only,2018-12-31,2020-12-29,2020-12-30,2021-03-31,3,3.321014697023817,0.0033210146970238,0.0984351653779227,0.1501778827074519,0.6992844203253715,0.9862597546870482,0.0237492744971372,-0.0676679957996995,DNN-only
split_017_2019-04-02_2021-06-30,dnn_only,2019-04-02,2021-03-31,2021-04-01,2021-06-30,3,2.349975812169442,0.0023499758121694,0.2852436309588924,0.0829992566966595,3.0657745079463448,5.427243356777189,0.0647468529146468,-0.0292682683443862,DNN-only
split_018_2019-07-02_2021-09-29,dnn_only,2019-07-02,2021-06-30,2021-07-01,2021-09-29,3,2.3400927119518102,0.0023400927119518,0.0355735026174797,0.1150515287214043,0.360523007204242,0.5113522809733676,0.0087771406973082,-0.0457256312913476,DNN-only
split_019_2019-10-01_2021-12-29,dnn_only,2019-10-01,2021-09-29,2021-09-30,2021-12-29,3,2.485919371983254,0.0024859193719832,0.2654547524925554,0.1150996613874373,2.102997219342747,3.3484914044824405,0.0606245008938823,-0.0473606103274818,DNN-only
split_020_2019-12-31_2022-03-30,dnn_only,2019-12-31,2021-12-29,2021-12-30,2022-03-30,3,2.3044932430822147,0.0023044932430822,-0.0290349334307996,0.1708022171882574,-0.0886310099127744,-0.1300648931058137,-0.0073391330879212,-0.1049174805692022,DNN-only
split_021_2020-04-01_2022-06-30,dnn_only,2020-04-01,2022-03-30,2022-03-31,2022-06-30,3,2.738591382462202,0.0027385913824622,-0.5317901099454898,0.249828732798012,-2.9092119372005976,-3.491077415765396,-0.1728007237311488,-0.1960176591139414,DNN-only
split_022_2020-07-01_2022-09-29,dnn_only,2020-07-01,2022-06-30,2022-07-01,2022-09-29,3,3.2430441531869136,0.0032430441531869,-0.3026519818511384,0.182375316415,-1.8851145963923568,-2.43801883703768,-0.0861763516338693,-0.1432341194457805,DNN-only
split_023_2020-09-30_2022-12-29,dnn_only,2020-09-30,2022-09-29,2022-09-30,2022-12-29,3,4.046529931172508,0.0040465299311725,0.1483205812776693,0.2034794041340638,0.779207634059031,1.3243666752252186,0.035179796157309,-0.0644421821433147,DNN-only
split_024_2020-12-30_2023-03-31,dnn_only,2020-12-30,2022-12-29,2022-12-30,2023-03-31,3,1.9372146426376244,0.0019372146426376,0.1720044166332428,0.1437797756073598,1.1749849011455964,1.7326371994159362,0.0404765869844219,-0.0918058518602211,DNN-only
split_025_2021-04-01_2023-07-03,dnn_only,2021-04-01,2023-03-31,2023-04-03,2023-07-03,3,2.635349267423236,0.0026353492674232,-0.0060674652882992,0.0916082260771831,-0.0213698124043682,-0.0307589581497562,-0.0015203299138858,-0.0430020535990284,DNN-only
