split,case_rank,date,ticker,y_true,y_pred,base_value,summary_text
split_019_2019-10-01_2021-12-29,2,2021-12-23,IWM,0.009324279613792896,-0.14118827879428864,0.004131208173930645,"For IWM on 2021-12-23, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were MACD signal (9), 20-day return volatility, 10-day average return. The main downward influences were 20-day momentum, MACD histogram, MACD (12, 26)."
split_019_2019-10-01_2021-12-29,3,2021-12-17,IWM,-0.014136983081698418,0.14646559953689575,0.004131208173930645,"For IWM on 2021-12-17, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were Trading volume, MACD (12, 26), 20-day return volatility. The main downward influences were 20-day momentum, 10-day return volatility, 5-day return volatility."
split_019_2019-10-01_2021-12-29,4,2021-10-04,SPY,0.010351192206144333,0.13278977572917938,0.004131208173930645,"For SPY on 2021-10-04, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were Trading volume, MACD (12, 26), MACD histogram. The main downward influences were 20-day average volume, 1-day simple return, 5-day average return."
split_020_2019-12-31_2022-03-30,1,2022-01-21,SPY,0.004237603861838579,0.1252918243408203,0.0011483144480735064,"For SPY on 2022-01-21, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD histogram, 1-day log return, Volume change. The main downward influences were 5-day momentum, Trading volume, 10-day momentum."
split_020_2019-12-31_2022-03-30,2,2022-02-04,IWM,0.004927909933030605,-0.10635422170162201,0.0011483144480735064,"For IWM on 2022-02-04, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 60-day momentum, 20-day return volatility, 20-day average return. The main downward influences were MACD signal (9), 14-day RSI, MACD (12, 26)."
split_020_2019-12-31_2022-03-30,3,2022-01-25,SPY,-0.0025119176134467125,0.11164792627096176,0.0011483144480735064,"For SPY on 2022-01-25, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD histogram, 5-day average return, 60-day average return. The main downward influences were 5-day momentum, Trading volume, 20-day average volume."
split_020_2019-12-31_2022-03-30,4,2022-01-27,SPY,0.024531975388526917,0.10621495544910431,0.0011483144480735064,"For SPY on 2022-01-27, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were 14-day RSI, 5-day average return, 60-day average return. The main downward influences were 20-day average volume, 20-day momentum, MACD histogram."
split_021_2020-04-01_2022-06-30,1,2022-06-15,EFA,-0.022267553955316544,0.20822054147720337,0.009184090420603752,"For EFA on 2022-06-15, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were 5-day momentum, 60-day average return, 10-day return volatility. The main downward influences were 5-day average return, MACD (12, 26), 5-day return volatility."
split_021_2020-04-01_2022-06-30,2,2022-05-31,TLT,-0.0011437610955908895,-0.15089277923107147,0.009184090420603752,"For TLT on 2022-05-31, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were MACD (12, 26), 60-day return volatility, Asset indicator: TLT. The main downward influences were Volume change, 60-day momentum, 14-day RSI."
split_021_2020-04-01_2022-06-30,3,2022-04-29,SPY,0.006001481786370277,0.18898668885231018,0.009184090420603752,"For SPY on 2022-04-29, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were Trading volume, MACD histogram, 1-day simple return. The main downward influences were MACD (12, 26), 10-day average return, 5-day momentum."
split_021_2020-04-01_2022-06-30,4,2022-06-14,IWM,0.014535544440150261,0.1824357956647873,0.009184090420603752,"For IWM on 2022-06-14, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were 5-day momentum, 10-day return volatility, MACD histogram. The main downward influences were 5-day average return, 20-day average return, MACD (12, 26)."
split_022_2020-07-01_2022-09-29,1,2022-09-28,SPY,-0.021110184490680695,0.11869507282972336,-0.0019019512692466378,"For SPY on 2022-09-28, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were 14-day RSI, 1-day log return, MACD signal (9). The main downward influences were 20-day momentum, MACD histogram, 10-day average return."
split_022_2020-07-01_2022-09-29,2,2022-07-08,IWM,-0.020308442413806915,-0.175843745470047,-0.0019019512692466378,"For IWM on 2022-07-08, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 10-day return volatility, Trading volume, 10-day momentum. The main downward influences were 60-day return volatility, 20-day return volatility, 14-day RSI."
split_022_2020-07-01_2022-09-29,3,2022-08-10,EFA,-0.0003017058770637959,-0.16470909118652344,-0.0019019512692466378,"For EFA on 2022-08-10, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 10-day momentum, 14-day RSI, Volume change. The main downward influences were 1-day simple return, 20-day average return, 20-day momentum."
split_022_2020-07-01_2022-09-29,4,2022-07-21,IWM,-0.016080597415566444,-0.14637085795402527,-0.0019019512692466378,"For IWM on 2022-07-21, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 5-day return volatility, 60-day average return, Asset indicator: IWM. The main downward influences were 60-day return volatility, 5-day momentum, 20-day return volatility."
split_023_2020-09-30_2022-12-29,1,2022-11-01,IWM,-0.033736396580934525,0.17226438224315643,0.013097858056426048,"For IWM on 2022-11-01, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were 60-day return volatility, MACD histogram, MACD (12, 26). The main downward influences were 10-day momentum, 20-day momentum, 60-day average return."
