split,family,family_label,full_rmse,ablated_rmse,is_outlier_rmse,outlier_reason,delta_mae,delta_rmse,delta_direction_acc,delta_net_ann_return,delta_net_sharpe,delta_net_sortino,delta_net_max_drawdown,delta_turnover_total,delta_tc_total
split_010_2017-06-29_2019-09-30,macd,MACD family,73.55513763427734,36.900840759277344,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(4367.83); rmse_gt_1.0,-2.327331781387329,-36.654296875,-0.035714285714285754,-0.09253850836747857,-0.5580804061573523,-0.702242475509205,0.03621651951548721,-0.5395699945027279,-0.0005395699945027282
split_010_2017-06-29_2019-09-30,rsi,RSI family,73.55513763427734,34.80437469482422,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(4367.83); rmse_gt_1.0,-2.4602913856506348,-38.750762939453125,0.055555555555555525,-0.021965075622505603,-0.10355419946665634,-0.13505859359650063,0.006067270124372914,-0.03956999450272791,-3.956999450272815e-05
split_010_2017-06-29_2019-09-30,volume,Volume family,73.55513763427734,0.033354200422763824,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(4367.83); rmse_gt_1.0,-4.645661072805524,-73.52178343385458,0.04365079365079366,-0.15332912356845652,-1.1783347369129986,-1.5427902322527558,0.03687236679351924,-1.2395699945027276,-0.0012395699945027278
split_011_2017-09-28_2019-12-30,return_level,Return-level family,0.04418833926320076,0.032153766602277756,False,,-0.010198352858424187,-0.012034572660923004,-0.05555555555555558,0.0125231957034444,0.07434838783978992,0.16597924046578427,-0.001307495557582583,0.21856247804635864,0.00021856247804635884
split_011_2017-09-28_2019-12-30,volatility,Volatility family,0.04418833926320076,0.01538543775677681,False,,-0.02342001348733902,-0.02880290150642395,-0.10714285714285715,-0.0002172253098182697,0.1293173086307935,0.0856722413244233,-0.0005274031554328706,1.0666666666666667,0.0010666666666666667
split_011_2017-09-28_2019-12-30,momentum,Momentum family,0.04418833926320076,0.030823586508631706,False,,-0.0130204688757658,-0.013364752754569054,-0.08730158730158732,-0.029827156695899637,-0.11434994316258762,-0.04277215891281827,-0.005423662777856664,1.3333333333333333,0.0013333333333333335
split_011_2017-09-28_2019-12-30,macd,MACD family,0.04418833926320076,0.021653350442647934,False,,-0.017710229381918907,-0.022534988820552826,-0.10714285714285715,-0.05242307408960167,-0.6350708084391086,-0.8919055777751068,8.470624446976771e-06,1.466666666666667,0.001466666666666667
split_011_2017-09-28_2019-12-30,rsi,RSI family,0.04418833926320076,0.019557874649763107,False,,-0.02037526573985815,-0.024630464613437653,-0.16666666666666669,0.09988818773341168,0.8933399844654148,1.260665796981314,-0.004183009418550987,0.8851966343590016,0.0008851966343590015
split_011_2017-09-28_2019-12-30,volume,Volume family,0.04418833926320076,0.02578776516020298,False,,-0.017000947147607803,-0.01840057410299778,-0.0753968253968254,-0.11248029526318448,-1.22549683970232,-1.8762572045817842,-0.0005956514861348294,0.9333333333333338,0.0009333333333333338
split_012_2017-12-28_2020-03-31,return_level,Return-level family,0.11822770535945892,0.06125164404511452,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(4.43),-0.033617276698350906,-0.056976061314344406,-0.12698412698412698,-0.13074387463082038,0.10492656824310442,0.08240789957404071,0.07237972370345735,-0.24360056168391564,-0.0002436005616839156
