split,base_model,compare_model,delta_net_ann_return,delta_net_ann_vol,delta_net_sharpe,delta_net_sortino,delta_net_cumulative_return,delta_net_max_drawdown,delta_turnover_total,delta_tc_total
split_011_2017-09-28_2019-12-30,dnn_only,dnn_rl,-0.10718142632566771,-0.016080918790049498,-1.0139609455905925,-1.4626102212482082,-0.0247049595210327,-0.0037323429992744024,1.128755324571523,0.0011287553245714998
split_012_2017-12-28_2020-03-31,dnn_only,dnn_rl,0.12730025967948522,-0.16767636896224763,-0.10227431814429022,-0.04875223934384976,0.0548514627020045,0.05022192352024335,-1.2034657552699155,-0.0012034657552699001
split_013_2018-04-02_2020-06-30,dnn_only,dnn_rl,0.2582129661478325,0.11692655612876882,-0.29443707692092813,-0.802457220758884,0.043890328868526216,-0.027019116996458203,0.4104743130516171,0.00041047431305160013
split_014_2018-06-29_2020-09-29,dnn_only,dnn_rl,-0.1968882244116103,-0.0022854483759763983,-1.740256952927262,-3.0993319935658445,-0.0422338084301697,-0.0022718925683197985,-1.5454258011322475,-0.0015454258011322998
split_015_2018-09-28_2020-12-29,dnn_only,dnn_rl,-0.42273072204086937,-0.040453138016390694,-1.8883566881275942,-2.9730801479921043,-0.0831980248862678,0.012925353020642294,-2.6344990971482884,-0.0026344990971483
split_016_2018-12-31_2021-03-31,dnn_only,dnn_rl,-0.3068400151944513,-0.05136673478918999,-3.0146874656414595,-3.934284283423353,-0.08050151738299191,-0.0009417446229307014,-2.539565065368474,-0.0025395650653685
split_017_2019-04-02_2021-06-30,dnn_only,dnn_rl,-0.00963943905685799,0.008825324435494997,-0.3684000410144259,-1.1490927154842963,-0.0020020632087948964,-0.0037376502482460022,-0.42736362371845016,-0.0004273636237185001
split_018_2019-07-02_2021-09-29,dnn_only,dnn_rl,-0.1005319581031427,-0.017553358304864194,-1.0012582279767668,-1.3760227874907844,-0.0254280357457582,0.0099740545383767,-0.5395606911182653,-0.0005395606911182999
split_019_2019-10-01_2021-12-29,dnn_only,dnn_rl,-0.1295812032083527,-0.030083283471362993,-0.5621895102136962,-1.0800932055632195,-0.0282613449395063,0.013381779621053004,-1.7085610229161443,-0.0017085610229161
split_020_2019-12-31_2022-03-30,dnn_only,dnn_rl,-0.04856198246759749,-0.01260382555078729,-0.3441505560363771,-0.49426434685456355,-0.012651590482367102,0.009512924718306101,-0.6081096805638091,-0.0006081096805638001
split_021_2020-04-01_2022-06-30,dnn_only,dnn_rl,0.043392283721516434,-0.0017723176633554771,0.3336996851515486,0.3256023168540372,0.018533370171006286,0.0185550066409238,-0.7057581678739182,-0.0007057581678739998
split_022_2020-07-01_2022-09-29,dnn_only,dnn_rl,-0.002235177105519792,0.0028425941967025192,0.014415062325713546,0.0442363890019668,-0.0007331408915338955,-0.004272200966735806,-1.245753521066476,-0.0012457535210665
split_023_2020-09-30_2022-12-29,dnn_only,dnn_rl,0.1220304430084134,0.001820004980295109,0.48709134105972307,0.8614401045289244,0.0264691561997841,-0.001613041265121004,-2.643110538916877,-0.0026431105389169004
split_024_2020-12-30_2023-03-31,dnn_only,dnn_rl,0.0802743973988955,0.006109678665553203,0.4002928588587813,0.6494558666368979,0.0173762578452043,0.010337415751066795,-0.9929054463753887,-0.0009929054463754
split_025_2021-04-01_2023-07-03,dnn_only,dnn_rl,0.2843415291945045,0.025176172598655205,2.1819604250181626,3.774560483932493,0.0648207716529494,0.016396133356750203,-1.6953398083857254,-0.0016953398083856999
split_026_2021-07-01_2023-10-02,dnn_only,dnn_rl,0.1683922303076177,-0.007304906312719905,1.798909927759949,2.0284767809362982,0.0533509158621946,0.0333792395698987,-2.280218537795792,-0.0022802185377958
split_027_2021-09-30_2024-01-02,dnn_only,dnn_rl,-0.06736047229849218,-0.016331827314959413,0.07952829521442117,-0.4032325192230246,-0.011734131486649702,-0.006364223475325101,-1.7975055584015402,-0.0017975055584016002
split_028_2021-12-30_2024-04-03,dnn_only,dnn_rl,0.09524425551187951,-0.027828278866271497,1.1116502783887428,2.089720712131827,0.019874457553209705,0.0118914105927144,-1.5870259065450072,-0.001587025906545
split_029_2022-03-31_2024-07-03,dnn_only,dnn_rl,0.0768706501017671,-0.01064916824344661,0.7239966673393209,1.1544102590228735,0.017545203051205598,0.0030845478125525946,-0.7132220292037024,-0.0007132220292037001
split_030_2022-07-01_2024-10-02,dnn_only,dnn_rl,-0.1899251800193082,-0.015511064908952987,-0.9279002713032694,-1.50812309233158,-0.0405243465956404,-0.04354318742888011,-1.9745493982956268,-0.0019745493982955995
split_031_2022-09-30_2025-01-02,dnn_only,dnn_rl,0.2085023948504367,-0.0005956360580670061,2.159232608103246,2.408294106456238,0.059574854779774006,0.021295621136923605,-2.7086298007121643,-0.0027086298007122003
split_032_2022-12-30_2025-04-04,dnn_only,dnn_rl,0.23116255051585963,-0.025667230163927607,1.984674127178622,2.3928380533991422,0.06543448433466531,0.0541286644723599,-2.7276537328135486,-0.0027276537328135998
split_033_2023-04-03_2025-07-08,dnn_only,dnn_rl,-0.17697786845353647,-0.038570738331689614,0.22418841211028528,-0.47903279473389127,-0.0256112621511293,0.006186549877292797,-0.6473785647001615,-0.0006473785647001999
split_034_2023-07-05_2025-10-06,dnn_only,dnn_rl,-0.16624491466445543,0.000980104294034792,-1.3126676417702337,-2.849203850376557,-0.033534580601122105,-0.016070177625035598,-0.41301396365151266,-0.0004130139636515
